date	wave_height	wave_direction	wind_wave_direction	predicted_latitude	predicted_longitude
2024-08-22 17:00:00+00:00	0.04	284.0	326.0	12.972655878077447	121.57224537145905
2024-08-22 18:00:00+00:00	0.04	292.0	329.0	12.935568523268401	121.58722962432168
2024-08-22 19:00:00+00:00	0.04	290.0	331.0	12.897980820994078	121.60091042697988
2024-08-22 20:00:00+00:00	0.02	289.0	333.0	12.879070450226962	121.60742179018072
2024-08-22 21:00:00+00:00	0.02	287.0	335.0	12.859944353486597	121.61326921910606
2024-08-22 22:00:00+00:00	0.02	292.0	338.0	12.841400676082074	121.62076134553737
2024-08-22 23:00:00+00:00	0.04	298.0	340.0	12.806082774560153	121.63954020983167
2024-08-23 00:00:00+00:00	0.04	303.0	343.0	12.772535954277217	121.6613257745523
2024-08-23 01:00:00+00:00	0.04	300.0	329.0	12.737894938002526	121.68132577037997
2024-08-23 02:00:00+00:00	0.02	297.0	315.0	12.720074805106222	121.69040557502396
2024-08-23 03:00:00+00:00	0.02	294.0	301.0	12.701803897182643	121.69854030797816
2024-08-23 04:00:00+00:00	0.02	286.0	298.0	12.682578663016855	121.70405305216647
2024-08-23 05:00:00+00:00	0.02	277.0	296.0	12.662727740268409	121.70649043510295
2024-08-23 06:00:00+00:00	0.02	269.0	293.0	12.642730786140262	121.7061413891972
2024-08-23 07:00:00+00:00	0.02	287.0	313.0	12.623604689399897	121.71198881812253
2024-08-23 08:00:00+00:00	0.04	304.0	334.0	12.590443187068402	121.7343565339581
2024-08-23 09:00:00+00:00	0.04	322.0	354.0	12.56581673272997	121.76587696768203
2024-08-23 10:00:00+00:00	0.04	320.0	0.0	12.540105222399532	121.796518739535
2024-08-23 11:00:00+00:00	0.02	317.0	5.0	12.526465257304906	121.81114581435779
2024-08-23 12:00:00+00:00	0.02	315.0	11.0	12.51232312028408	121.825287946722
2024-08-23 13:00:00+00:00	0.02	300.0	47.0	12.495002612146735	121.83528794463584
2024-08-23 14:00:00+00:00	0.02	285.0	82.0	12.475684096711873	121.8404643239812
2024-08-23 15:00:00+00:00	0.02	270.0	118.0	12.455684097158908	121.8404643242197
2024-08-23 16:00:00+00:00	0.02	257.0	101.0	12.436196695688366	121.83596530090513
2024-08-23 17:00:00+00:00	0.02	243.0	83.0	12.418376568379998	121.82688548787924
2024-08-23 18:00:00+00:00	0.02	230.0	66.0	12.4030556777969	121.81402973830195
2024-08-23 19:00:00+00:00	0.02	225.0	35.0	12.388913543570041	121.79988760221245
2024-08-23 20:00:00+00:00	0.02	221.0	3.0	12.375792362402379	121.7847934113765
2024-08-23 21:00:00+00:00	0.02	216.0	332.0	12.364036660316586	121.76861306931319
2024-08-23 22:00:00+00:00	0.02	215.0	318.0	12.352565132687985	121.75223002861681
2024-08-23 23:00:00+00:00	0.02	213.0	304.0	12.34167235405296	121.7354566166127
2024-08-24 00:00:00+00:00	0.02	212.0	290.0	12.331073969277739	121.7184956548685
2024-08-24 01:00:00+00:00	0.02	216.0	284.0	12.319318267191946	121.7023153128052
2024-08-24 02:00:00+00:00	0.02	220.0	277.0	12.306462515752017	121.68699442315342
2024-08-24 03:00:00+00:00	0.02	224.0	271.0	12.29256934826374	121.67260762769224
2024-08-24 04:00:00+00:00	0.02	228.0	264.0	12.277706455114483	121.65922501310202
2024-08-24 05:00:00+00:00	0.02	231.0	258.0	12.262163535366952	121.6466386057386
2024-08-24 06:00:00+00:00	0.02	235.0	251.0	12.245780492807924	121.63516707904132
2024-08-24 07:00:00+00:00	0.02	241.0	274.0	12.228288097913563	121.62547088693323
2024-08-24 08:00:00+00:00	0.02	246.0	296.0	12.210017189989983	121.61733615397902
2024-08-24 09:00:00+00:00	0.02	252.0	319.0	12.190996060754358	121.6111558116922
2024-08-24 10:00:00+00:00	0.02	254.0	341.0	12.17177082658857	121.60564306750389
2024-08-24 11:00:00+00:00	0.02	255.0	3.0	12.15245231115371	121.60046668815853
2024-08-24 12:00:00+00:00	0.02	257.0	25.0	12.132964909683167	121.59596766484397
2024-08-24 13:00:00+00:00	0.02	246.0	350.0	12.114694001759588	121.58783293188976
2024-08-24 14:00:00+00:00	0.02	236.0	314.0	12.09811325059384	121.57664907397198
2024-08-24 15:00:00+00:00	0.02	225.0	279.0	12.083971116366982	121.56250693788247
2024-08-24 16:00:00+00:00	0.02	219.0	256.0	12.071384709003567	121.54696401813494
2024-08-24 17:00:00+00:00	0.02	214.0	232.0	12.060200850154459	121.5303832669692
2024-08-24 18:00:00+00:00	0.02	208.0	209.0	12.050811419869959	121.51272431434559
2024-08-24 19:00:00+00:00	0.02	206.0	207.0	12.042043998512625	121.49474843264984
2024-08-24 20:00:00+00:00	0.04	205.0	206.0	12.025139268162846	121.45849612401294
2024-08-24 21:00:00+00:00	0.04	203.0	204.0	12.009510025057196	121.42167592839765
2024-08-24 22:00:00+00:00	0.04	203.0	204.0	11.993880781951546	121.38485573278236
2024-08-24 23:00:00+00:00	0.04	203.0	204.0	11.978251538845896	121.34803553716706
